,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
1928,GOAU4,2024-03-14,9.88496802,9.91424236,9.52391785,9.62149898,9.5629503,81302733.0
1929,GOAU4,2024-03-15,9.54343408,9.5629503,9.36778805,9.45561107,9.4848854,129951891.0
1930,GOAU4,2024-03-18,9.5531922,9.66053143,9.46536918,9.59222465,9.62149898,87381927.0
1931,GOAU4,2024-03-19,9.67028955,9.82641934,9.65077332,9.76787067,9.80690312,65114454.0
1932,GOAU4,2024-03-20,9.80690312,9.94351669,9.709322,9.84593557,9.94351669,79510926.0
1933,GOAU4,2024-03-21,9.89472613,10.02158159,9.85569368,9.96303292,9.98254914,58542250.0
1934,GOAU4,2024-03-22,9.97279103,9.97279103,9.77762878,9.82641934,9.82641934,38437246.0
1935,GOAU4,2024-03-25,9.82641934,9.89472613,9.76787067,9.82641934,9.82641934,43696355.0
1936,GOAU4,2024-03-26,9.80690312,9.84593557,9.71908011,9.79714501,9.81666123,59459350.0
1937,GOAU4,2024-03-27,9.82641934,10.02158159,9.76787067,9.93375858,9.96303292,59110544.0
1938,GOAU4,2024-03-28,9.95327481,10.08013027,9.86545179,10.00206537,10.04109782,52284344.0
1939,GOAU4,2024-04-01,10.08988839,10.09964649,9.99230726,10.06061404,10.09964649,43333732.0
1940,RSUL4,2023-04-04,64.34599738,64.34599738,64.32737335,64.32737335,64.32737335,20726.0
1941,RSUL4,2023-04-05,64.42980547,64.42980547,63.32167615,63.4520443,63.32167615,61328.0
1942,RSUL4,2023-04-06,65.10027028,65.18407839,64.25287727,64.4484295,64.25287727,62291.0
1943,RSUL4,2023-04-10,64.43911749,64.43911749,63.32167615,63.80590073,63.32167615,123342.0
1944,RSUL4,2023-04-11,63.59172447,65.18407839,62.39047503,64.32737335,65.18407839,200343.0
1945,RSUL4,2023-04-12,66.68915812,66.68915812,64.26498288,65.47220268,64.26498288,87426.0
1946,RSUL4,2023-04-13,64.34286803,68.04241257,64.25524724,65.15092644,66.76704326,127164.0
1947,RSUL4,2023-04-14,66.92281356,67.15646901,66.20237594,66.65995119,66.29973238,89023.0
1948,RSUL4,2023-04-17,66.97149178,67.17594029,66.15369772,66.6404799,67.17594029,68458.0
1949,RSUL4,2023-04-18,66.57233039,66.95202049,65.28722545,66.03687,66.1926403,162814.0
1950,RSUL4,2023-04-19,65.37484624,66.50418089,65.22881159,65.70585812,66.50418089,168743.0
1951,RSUL4,2023-04-20,65.22881159,66.57233039,65.22881159,65.41378882,65.22881159,114224.0
1952,RSUL4,2023-04-24,66.97149178,66.97149178,65.22881159,65.41378882,65.22881159,147824.0
1953,RSUL4,2023-04-25,66.11475515,66.11475515,64.28445417,64.96594921,65.70585812,133468.0
1954,RSUL4,2023-04-26,64.33313238,65.69612248,64.26498288,64.48890268,64.54731654,178850.0
